標題：【大人學】職場人際關係與優勢策略：Brian的生活觀察與實踐故事

描述：在這一集的節目中，大人學的主持人Brian將與你分享他的生活經驗和觀察，包括一篇揭示折手指並不會導致關節炎的網路文章，以及他的同學們如何透過自學和實驗成功進入IC設計業，甚至改變自己找到女朋友的故事。你將聽到一個高中同學對於「漂亮女生都愛有錢人」的觀念有著不同的看法和行動，他如何從理工科背景轉變成為一家醫美公司的老闆。Brian也將分享他對社會不公和個人努力的看法，以及他在職場上的實驗結果，鼓勵大家相信思考，勇於改變，並認為改變大環境和讓自己變得更好是兩件獨立事件。讓我們一起學習如何在職場上不僅要會做事，更要會做人，並在人際關係中找到自己的優勢策略。

## 大人學的介紹和理念
- 大人學是一個專注於職場人際關係培養的平台，認為人際關係也是一種專業，可以透過學習和訓練來強化。
- 大人學認為在職場不僅要會做事，更要會做人，並認為如何在職場建立人際關係是一門大學問。
- 為此，大人學特別設計了一堂課，課名叫做職場大人學，職場人際關係與優勢策略。

## Brian的分享和故事
- Brian是大人學的podcast節目主持人，他分享了自己的一些生活經驗和觀察。
- 他分享了一篇網路文章，文章中的美國90多歲的醫學博士進行了60年的實驗，結果顯示折手指並不會導致關節炎或其他病變。
- Brian也分享了他的同學們的故事，包括一位從冷門科系畢業，但透過自學和實驗，成功進入了IC設計業的同學，以及一位透過實際行動去改變自己，最終成功找到女朋友的同學。

## 高中同學的故事和觀點
- 文章主要講述了一個高中同學的故事，他對於「漂亮女生都愛有錢人」的觀念有著不同的看法和行動。
- 這位同學認為，如果漂亮女生真的喜歡有錢人，那他就去賺錢，而不是抱怨或者仇女。
- 他的學習背景是理工科，但他後來成為了一家醫美公司的老闆，因為他發現機械電子可以用在醫美設備上。

## 對社會不公和個人努力的看法
- 他認為，即使社會上有很多不公平和殘酷的事情，但這並不影響他去追求自己想要的東西。
- 他認為，社會的不公平和個人的努力是兩碼子事，不能因為社會的不公平就放棄自己的努力。
- 他認為，即使公司的文化和制度有問題，也不能因此就不認真工作，因為這是兩碼子事。

## 對職場和生活的建議和觀察
- 他分享了自己在職場上做的各種實驗，並把實驗結果告訴大家，什麼東西有用，什麼東西沒用。
- 他認為我們活在這個世界上，你不可能永遠遇到一個大環境非常完美的世界，大環境總是充滿了各式各樣不公平不合理的地方。
- 他鼓勵大家相信思考，勇於改變，並認為改變大環境和讓自己變得更好是兩件獨立事件，你不能因為大環境還沒有到完美，就給自己一個藉口說我無法變得更好。
